Serial No,Location,Apartment_size,Bed,Bath,Price,Area
2354,"Block B, Section 12, Mirpur, Dhaka",650,2,2,15000,Mirpur
2355,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",720,2,2,15000,Badda
2356,"Block C, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",800,2,2,11000,Mohammadpur
2357,"Block C, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",800,2,2,11000,Mohammadpur
2358,"Section 10, Mirpur, Dhaka",650,2,2,14200,Mirpur
2359,"Avenue 3, Block B, Section 11, Mirpur, Dhaka",650,2,2,12000,Mirpur
2360,"Porod Diea, Satarkul, Uttar Badda, Badda, Dhaka",700,2,2,10000,Satarkul
2361,"West Rampura, Rampura, Dhaka",550,1,1,10000,Rampura
2362,"West Rampura, Rampura, Dhaka",750,2,2,14000,Rampura
2363,"Sector 10, Uttara, Dhaka",950,2,2,17000,Uttara
2364,"Hazaribag, Dhaka",1100,3,2,16000,Hazaribag
2365,"Hazaribag, Dhaka",550,2,1,10000,Hazaribag
2366,"Hazaribag, Dhaka",1100,3,2,16000,Hazaribag
2367,"Baitul Aman Housing Society, Adabor, Dhaka",800,2,2,16000,Adabor
2368,"Baitul Aman Housing Society, Adabor, Dhaka",800,2,2,16000,Adabor
2369,"Hazaribag, Dhaka",800,2,2,12000,Hazaribag
2370,"Bochila Garden City, Bochila, Mohammadpur, Dhaka",720,2,2,11000,Mohammadpur
2371,"North Goran, Khilgaon, Goran, Khilgaon, Dhaka",900,3,2,22000,Khilgaon
2372,"Wari, Sutrapur, Dhaka",500,2,1,12000,Sutrapur
2373,"Block F, Eastern Housing, Pallabi, Mirpur, Dhaka",700,2,2,11500,Mirpur
2374,"Tajmahal Road, Mohammadpur, Dhaka",1200,3,3,25000,Mohammadpur
2375,"Block B, Section 12, Mirpur, Dhaka",650,2,2,12000,Mirpur
2376,"Block B, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",800,2,2,15500,Mohammadpur
2377,"Baitul Aman Housing Society, Adabor, Dhaka",800,2,2,16000,Adabor
2378,"Shahjahanpur, Dhaka",700,2,2,18000,Shahjahanpur
2379,"Khilgaon, Dhaka",1000,2,2,19000,Khilgaon
2380,"Ibrahimpur, Dhaka",650,2,2,10000,Ibrahimpur
2381,"Block B, Section 11, Mirpur, Dhaka",650,2,2,13000,Mirpur
2382,"PC Culture Housing, Mohammadpur, Dhaka",900,3,3,25000,Mohammadpur
2383,"Monipuripara, Tejgaon, Dhaka",1430,3,4,32000,Tejgaon
2384,"Khilgaon, Dhaka",600,2,1,11000,Khilgaon
2385,"Mirpur, Dhaka",1114,3,3,15000,Mirpur
2386,"PC Culture Housing, Mohammadpur, Dhaka",800,2,2,16000,Mohammadpur
